Para-9,Para-10,Para-11,Para-12,Para-13
330.4,304.8,75.0,110.0,0.78
304.79901123046875,120.4990005493164,68.9990005493164,99.9990005493164,0.7580000162124634
25.601,184.301,6.001,10.001,0.022
