Para-9,Para-10,Para-11,Para-12,Para-13
305.0,261.3,139.0,16.0,1.962
304.9989929199219,257.7980041503906,132.9980010986328,15.99899959564209,1.9450000524520874
0.001,3.502,6.002,0.001,0.017
