Para-9,Para-10,Para-11,Para-12,Para-13
1.9,285.12,24.0,5.0,1.297
1.6799999475479126,277.39801025390625,10.99899959564209,4.999000072479248,1.1610000133514404
0.22,7.722,13.001,0.001,0.136
